### THIS CSV IS INTENDED TO BE USED AT WIRECRACKER.COM FOR FUNCTIONAL MAPPING PLANNING ###
### THESE TWO LINES SERVES AS IDENTIFIER. DO NOT DELETE ###
Label,ContactNumber,ElectrodeDescription,ContactDescription,AssociatedLocation,Mark,SurgeonMark,Pair,IsPlanning,Frequency,Duration,Current,PlanOrder
I',11,Insular Cortex,Insular Cortex+Caudal Dorsolateral Prefrontal Cortex,Insular Cortex/Caudal Dorsolateral Prefrontal Cortex,0,false,10,false,105.225,3,2.445,-1
I',12,Insular Cortex,WM,WM,0,false,11,false,105.225,3,2.445,-1
I',13,Insular Cortex,WM,WM,0,false,12,false,105.225,3,2.445,-1
I',14,Insular Cortex,WM,WM,0,false,13,false,105.225,3,2.445,-1
I',15,Insular Cortex,WM,WM,0,false,14,false,105.225,3,2.445,-1
H',1,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,0,false,2,false,105.225,3,2.445,-1
H',2,Caudal Superior Temporal Cortex,WM,WM,0,false,1,false,105.225,3,2.445,-1
H',3,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,0,false,2,false,105.225,3,2.445,-1
H',4,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,0,false,3,false,105.225,3,2.445,-1
H',5,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,0,false,4,false,105.225,3,2.445,-1
H',6,Caudal Superior Temporal Cortex,WM,WM,0,false,5,false,105.225,3,2.445,-1
H',7,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,0,false,6,false,105.225,3,2.445,-1
H',8,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,0,false,7,false,105.225,3,2.445,-1
H',9,Caudal Superior Temporal Cortex,WM,WM,0,false,8,false,105.225,3,2.445,-1
H',10,Caudal Superior Temporal Cortex,WM,WM,0,false,9,false,105.225,3,2.445,-1
TI',1,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex+Insular Cortex,Rostral Superior Temporal Cortex/Insular Cortex,0,false,2,false,105.225,3,2.445,-1
TI',2,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex+Insular Cortex,Rostral Superior Temporal Cortex/Insular Cortex,0,false,1,false,105.225,3,2.445,-1
TI',3,Rostral Superior Temporal Cortex,WM,WM,0,false,2,false,105.225,3,2.445,-1
TI',4,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,0,false,3,false,105.225,3,2.445,-1
TI',5,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,0,false,4,false,105.225,3,2.445,-1
TI',6,Rostral Superior Temporal Cortex,WM,WM,0,false,5,false,105.225,3,2.445,-1
TI',7,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,0,false,6,false,105.225,3,2.445,-1
TI',8,Rostral Superior Temporal Cortex,WM,WM,0,false,7,false,105.225,3,2.445,-1
TI',9,Rostral Superior Temporal Cortex,WM,WM,0,false,8,false,105.225,3,2.445,-1
TI',10,Rostral Superior Temporal Cortex,WM,WM,0,false,9,false,105.225,3,2.445,-1
TI',11,Rostral Superior Temporal Cortex,WM,WM,0,false,10,false,105.225,3,2.445,-1
OT',1,Lateral Visual Cortex,WM,WM,2,false,2,false,105.225,3,2.445,-1
OT',2,Lateral Visual Cortex,WM,WM,0,false,1,false,105.225,3,2.445,-1
OT',3,Lateral Visual Cortex,WM,WM,0,false,2,false,105.225,3,2.445,-1
OT',4,Lateral Visual Cortex,WM,WM,0,false,3,false,105.225,3,2.445,-1
OT',5,Lateral Visual Cortex,WM,WM,0,false,4,false,105.225,3,2.445,-1
OT',6,Lateral Visual Cortex,WM,WM,0,false,5,false,105.225,3,2.445,-1
OT',7,Lateral Visual Cortex,WM,WM,0,false,6,false,105.225,3,2.445,-1
OT',8,Lateral Visual Cortex,WM,WM,0,false,7,false,105.225,3,2.445,-1
OT',9,Lateral Visual Cortex,Lateral Visual Cortex,Lateral Visual Cortex,0,false,8,false,105.225,3,2.445,-1
OT',10,Lateral Visual Cortex,Lateral Visual Cortex,Lateral Visual Cortex,0,false,9,false,105.225,3,2.445,-1
OT',11,Lateral Visual Cortex,Lateral Visual Cortex,Lateral Visual Cortex,0,false,10,false,105.225,3,2.445,-1
OT',12,Lateral Visual Cortex,WM,WM,0,false,11,false,105.225,3,2.445,-1
OT',13,Lateral Visual Cortex,Lateral Visual Cortex+Caudal Middle Temporal Cortex,Lateral Visual Cortex/Caudal Middle Temporal Cortex,0,false,12,false,105.225,3,2.445,-1
OT',14,Lateral Visual Cortex,Lateral Visual Cortex+Caudal Middle Temporal Cortex,Lateral Visual Cortex/Caudal Middle Temporal Cortex,0,false,13,false,105.225,3,2.445,-1
OT',15,Lateral Visual Cortex,Lateral Visual Cortex+Caudal Middle Temporal Cortex,Lateral Visual Cortex/Caudal Middle Temporal Cortex,0,true,14,false,105.225,3,2.445,-1
OT',16,Lateral Visual Cortex,WM,WM,2,true,15,true,105.225,3,2.445,3
OT',17,Lateral Visual Cortex,WM,WM,2,true,16,false,105.225,3,2.445,-1
PI',1,Posterior Cingulate Cortex,Posterior Cingulate Cortex,Posterior Cingulate Cortex,1,false,2,false,105.225,3,2.445,-1
PI',2,Posterior Cingulate Cortex,Posterior Cingulate Cortex,Posterior Cingulate Cortex,1,false,1,false,105.225,3,2.445,-1
PI',3,Posterior Cingulate Cortex,WM,WM,0,false,2,false,105.225,3,2.445,-1
PI',4,Posterior Cingulate Cortex,WM,WM,0,false,3,false,105.225,3,2.445,-1
PI',5,Posterior Cingulate Cortex,WM,WM,0,false,4,false,105.225,3,2.445,-1
PI',6,Posterior Cingulate Cortex,WM,WM,0,false,5,false,105.225,3,2.445,-1
PI',7,Posterior Cingulate Cortex,WM,WM,0,false,6,false,105.225,3,2.445,-1
PI',8,Posterior Cingulate Cortex,WM,WM,0,false,7,false,105.225,3,2.445,-1
PI',9,Posterior Cingulate Cortex,WM,WM,0,false,8,false,105.225,3,2.445,-1
PI',10,Posterior Cingulate Cortex,Posterior Cingulate Cortex+Caudal Middle Temporal Cortex,Posterior Cingulate Cortex/Caudal Middle Temporal Cortex,0,false,9,false,105.225,3,2.445,-1
PI',11,Posterior Cingulate Cortex,WM,WM,0,false,10,false,105.225,3,2.445,-1
PI',12,Posterior Cingulate Cortex,Posterior Cingulate Cortex+Ventral Inferior Parietal Cortex,Posterior Cingulate Cortex/Ventral Inferior Parietal Cortex,1,false,11,false,105.225,3,2.445,-1
PI',13,Posterior Cingulate Cortex,WM,WM,1,false,12,false,105.225,3,2.445,-1
PI',14,Posterior Cingulate Cortex,WM,WM,1,false,13,false,105.225,3,2.445,-1
PI',15,Posterior Cingulate Cortex,WM,WM,1,false,14,false,105.225,3,2.445,-1
