### THIS CSV IS INTENDED TO BE USED AT WIRECRACKER.COM FOR LOCALIZATION ###
### THESE TWO LINES SERVES AS IDENTIFIER. DO NOT DELETE ###
Label,ContactNumber,ElectrodeDescription,ContactDescription,AssociatedLocation,Mark,SurgeonMark
I',11,Insular Cortex,Insular Cortex+Caudal Dorsolateral Prefrontal Cortex,GM/GM,0,0
I',12,Insular Cortex,WM,WM,0,0
I',13,Insular Cortex,WM,WM,0,0
I',14,Insular Cortex,WM,WM,0,0
I',15,Insular Cortex,WM,WM,0,0
H',1,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,GM,0,0
H',2,Caudal Superior Temporal Cortex,WM,WM,0,0
H',3,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,GM,0,0
H',4,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,GM,0,0
H',5,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,GM,0,0
H',6,Caudal Superior Temporal Cortex,WM,WM,0,0
H',7,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,GM,0,0
H',8,Caudal Superior Temporal Cortex,Caudal Superior Temporal Cortex,GM,0,0
H',9,Caudal Superior Temporal Cortex,WM,WM,0,0
H',10,Caudal Superior Temporal Cortex,WM,WM,0,0
TI',1,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex+Insular Cortex,GM/GM,0,0
TI',2,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex+Insular Cortex,GM/GM,0,0
TI',3,Rostral Superior Temporal Cortex,WM,WM,0,0
TI',4,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,GM,0,0
TI',5,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,GM,0,0
TI',6,Rostral Superior Temporal Cortex,WM,WM,0,0
TI',7,Rostral Superior Temporal Cortex,Rostral Superior Temporal Cortex,GM,0,0
TI',8,Rostral Superior Temporal Cortex,WM,WM,0,0
TI',9,Rostral Superior Temporal Cortex,WM,WM,0,0
TI',10,Rostral Superior Temporal Cortex,WM,WM,0,0
TI',11,Rostral Superior Temporal Cortex,WM,WM,0,0
OT',1,Lateral Visual Cortex,WM,WM,0,0
OT',2,Lateral Visual Cortex,WM,WM,0,0
OT',3,Lateral Visual Cortex,WM,WM,0,0
OT',4,Lateral Visual Cortex,WM,WM,0,0
OT',5,Lateral Visual Cortex,WM,WM,0,0
OT',6,Lateral Visual Cortex,WM,WM,0,0
OT',7,Lateral Visual Cortex,WM,WM,0,0
OT',8,Lateral Visual Cortex,WM,WM,0,0
OT',9,Lateral Visual Cortex,Lateral Visual Cortex,GM,0,0
OT',10,Lateral Visual Cortex,Lateral Visual Cortex,GM,0,0
OT',11,Lateral Visual Cortex,Lateral Visual Cortex,GM,0,0
OT',12,Lateral Visual Cortex,WM,WM,0,0
OT',13,Lateral Visual Cortex,Lateral Visual Cortex+Caudal Middle Temporal Cortex,GM/GM,0,0
OT',14,Lateral Visual Cortex,Lateral Visual Cortex+Caudal Middle Temporal Cortex,GM/GM,0,0
OT',15,Lateral Visual Cortex,Lateral Visual Cortex+Caudal Middle Temporal Cortex,GM/GM,0,0
OT',16,Lateral Visual Cortex,WM,WM,0,0
OT',17,Lateral Visual Cortex,WM,WM,0,0
PI',1,Posterior Cingulate Cortex,Posterior Cingulate Cortex,GM,0,0
PI',2,Posterior Cingulate Cortex,Posterior Cingulate Cortex,GM,0,0
PI',3,Posterior Cingulate Cortex,WM,WM,0,0
PI',4,Posterior Cingulate Cortex,WM,WM,0,0
PI',5,Posterior Cingulate Cortex,WM,WM,0,0
PI',6,Posterior Cingulate Cortex,WM,WM,0,0
PI',7,Posterior Cingulate Cortex,WM,WM,0,0
PI',8,Posterior Cingulate Cortex,WM,WM,0,0
PI',9,Posterior Cingulate Cortex,WM,WM,0,0
PI',10,Posterior Cingulate Cortex,Posterior Cingulate Cortex+Caudal Middle Temporal Cortex,GM/GM,0,0
PI',11,Posterior Cingulate Cortex,WM,WM,0,0
PI',12,Posterior Cingulate Cortex,Posterior Cingulate Cortex+Ventral Inferior Parietal Cortex,GM/GM,0,0
PI',13,Posterior Cingulate Cortex,WM,WM,0,0
PI',14,Posterior Cingulate Cortex,WM,WM,0,0
PI',15,Posterior Cingulate Cortex,WM,WM,0,0
